Id_Equipo_Area;Nombre_Equipo_Area;Id_Equipo_Viceprecidencia 
CLS51000895;PLANEACION Y ESTUDIOS TYD ;CLS80000008
CLS51000577;TRANSMISION Y DISTRIBUCION ;CLS80000008
CLS51000848;OPERACION DEL MEM ;CLS80000006
CLS53000571;PRUEBAS E INGENIERIA TYD ;CLS80000008
CLS51000896;INGENIERIA TYD ;CLS80000008
CLS53000268;OPERACION Y MANTENIMIENTO DE LA MEDIDA ZONA TOLIMA NORTE ;CLS80000008
CLS53000231;PLANEACION Y PROGRAMACION MANTENIMIENTO MEDIA Y BAJA TENSION ;CLS80000008
CLS53000545;DEVOPS TECNOLOGIA NEGOCIO ;CLS80000007
CLS53000577;SUBESTACIONES TOLIMA SUR ;CLS80000008
CLS51000783;INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS ;CLS80000007
CLS51000728;EXPERIENCIA DE CLIENTE ;CLS80000004
CLS53000578;SUBESTACIONES TOLIMA NORTE ;CLS80000008
CLS53000419;ANALISIS CONTABLE ;CLS80000005
CLS53000301;REGIONAL TOLIMA ;CLS80000004
CLS51000676;FINANZAS DE NEGOCIO ;CLS80000005
CLS51000662;PROYECTOS TYD ;CLS80000008
CLS53000015;ASUNTOS LEGALES DE NEGOCIO ;CLS80000002
CLS53000327;CATEGORIA ;CLS80000005
CLS53000404;INFORMACION TECNICA ;CLS80000008
CLS53000395;MEDIDA Y CONFIABILIDAD TYD ;CLS80000008
CLS53000348;CENTRO DE CONTROL ;CLS80000008
CLS53000250;EVALUACION DE LA MEDIDA ;CLS80000008
CLS53000570;SOCIOAMBIENTAL TYD ;CLS80000008
CLS53000242;COBRO Y RECAUDO ;CLS80000004
CLS51000479;ASUNTOS LEGALES CORPORATIVOS ;CLS80000002
CLS51000478;ASUNTOS LABORALES ;CLS80000007
CLS53000611;PROYECTO REDUCCION DE PERDIDAS TOLIMA ;CLS80000008
CLS53000528;OPERACION CAMPO ;CLS80000022
CLS53000244;ALMACEN ;CLS80000005
CLS53000022;PROYECTOS GRANJAS FOTOVOLTAICAS ;CLS80000008
CLS53000580;PLANEACION Y PROGRAMACION MANTENIMIENTO ALTA TENSION ;CLS80000008
CLS53000272;OPERACION Y MANTENIMIENTO DE LA MEDIDA ZONA TOLIMA SUR ;CLS80000008
CLS50000058;AUDITORIA CORPORATIVA ;CLS80000020
CLS51000888;CENTRO DE OPERACIONES ;CLS80000008
CLS53000459;PROYECTOS PARTICULARES ;CLS80000008
CLS53000374;CATEGORIA ;CLS80000005
CLS51000578;INNOVACION ;CLS80000021
CLS53000281;SOLUCIONES A COLABORADORES ;CLS80000007
CLS53000486;MANTENIMIENTO ELECTRICO TERMICAS ;CLS80000006
CLS53000596;OPERACION Y MANTENIMIENTO RUTINARIO CENTRALES GENERACION ;CLS80000006
CLS53000618;NEGOCIOS RETAIL ;CLS80000004
CLS53000192;DESARROLLO DE MERCADOS ;CLS80000005
CLS51000797;COMUNICACIONES INTERNAS ;CLS80000002
CLS53000420;FINANZAS ESTRUCTURADAS ;CLS80000005
CLS53000353;PROGRAMACION Y CONTROL GENERACION ;CLS80000006
CLS53000013;SOSTENIBILIDAD ;CLS80000002
CLS53000479;CENTRAL TERMICA TESORITO ;CLS80000006
CLS53000547;DEVOPS TECNOLOGIA NEGOCIO ;CLS80000007
CLS53000526;TECNOLOGIA ;CLS80000022
CLS53000353;PRESUPUESTOS PROGRAMACION Y CONTROL GENERACION ;CLS80000006
CLS53000280;RETAIL ;CLS80000004
CLS53000009;ACADEMIA E4 ;CLS80000007
CLS53000292;REGIONAL ANTIOQUIA ;CLS80000004
CLS53000625;CONSTRUCCION PROYECTOS SOCIALES ;CLS80000006
CLS53000450;PROYECTOS MOVILIDAD ELECTRICA ;CLS80000004
CLS53000466;EXPERIENCIA DE COLABORADORES Y CULTURA ;CLS80000007
CLS53000029;FUNDACION ;CLS80000002
CLS53000294;REGIONAL VALLE HOGARES ;CLS80000004
CLS53000211;MOVILIDAD ELECTRICA ;CLS80000004
CLS53000485;MANTENIMIENTO CENTRAL TERMICA ;CLS80000006
CLS51000341;PLANEACION FISCAL ;CLS80000005
CLS53000593;SOCIOAMBIENTAL PROYECTOS GENERACION ;CLS80000006
CLS53000193;ANALISIS DE MERCADOS ;CLS80000005
CLS51000226;ASUNTOS REGULATORIOS ;CLS80000003
CLS53000518;EJECUCION Y OPERACION PROYECTOS EFICIENCIA ENERGETICA ;CLS80000004
CLS53000472;ESTRUCTURACION DE PROYECTOS EFICIENCIA ENERGETICA ;CLS80000004
CLS53000483;DIGITALIZACION EFICIENCIA ENERGETICA ;CLS80000004
CLS53000023;INGENIERIA BASICA Y DE OFERTAS SISTEMAS FOTOVOLTAICOS ;CLS80000008
CLS51000477;DESARROLLO ORGANIZACIONAL ;CLS80000007
CLS53000524;CRECIMIENTO Y EXPERIENCIA ;CLS80000022
CLS53000319;EXPERIENCIAS DE SERVICIO ZONA ;CLS80000004
CLS53000564;EXPERIENCIAS DE SERVICIO ;CLS80000004
CLS53000475;ANALITICA ;CLS80000007
CLS53000566;EXPERIENCIAS DE SERVICIO ;CLS80000004
CLS53000369;EXPERIENCIAS DE SERVICIO ZONA ;CLS80000004
CLS53000601;SOCIOAMBIENTAL OPERACION GENERACION ;CLS80000006
CLS53000546;DEVOPS TECNOLOGIA NEGOCIO ;CLS80000007
CLS53000534;SERVICIO POSVENTA CLIENTES B2B ;CLS80000004
CLS53000584;LINEAS Y REDES TOLIMA SUR ;CLS80000008
CLS53000586;CONSTRUCCION PROYECTOS SOCIALES ;CLS80000006
CLS53000488;MANTENIMIENTO INSTRUMENTACION Y CONTROL TERMICAS ;CLS80000006
CLS53000375;SOPORTE COMPRAS ;CLS80000005
CLS53000345;CENTRO DE CONTROL ;CLS80000008
CLS53000558;FACTURACION MEDIDA ;CLS80000004
CLS53000583;LINEAS Y REDES TOLIMA NORTE ;CLS80000008
CLS51000770;TESORERIA ;CLS80000005
CLS53000283;RIESGOS Y SISTEMA GESTION DE ACTIVOS ;CLS80000005
CLS53000394;EVALUACION INTEGRAL DEL NEGOCIO ;CLS80000008
CLS53000529;EXPERIENCIA CLIENTES ;CLS80000022
CLS51000887;ASEGURAMIENTO Y CALIDAD DE LA OPERACION ;CLS80000008
CLS53000308;NEGOCIOS REGULADOS ;CLS80000003
CLS53000562;PLANEACION Y DESEMPEÑO TYD ;CLS80000008
CLS51000908;ADMINISTRACION ALIADOS ;CLS80000004
CLS53000027;DESARROLLO DE PRODUCTOS ;CLS80000004
CLS53000207;OBRAS CIVILES PROYECTOS ;CLS80000006
CLS53000321;RELACIONAMIENTO Y GESTION ;CLS80000005
CLS53000482;RED DIGITAL 2.0 ;CLS80000008
CLS51000796;COMUNICACIONES EXTERNAS ;CLS80000002
CLS53000239;CUMPLIMIENTO ;CLS80000002
CLS53000281;SOLUCIONES AL COLABORADOR ;CLS80000007
CLS53000265;GESTION DE LA MEDIDA ;CLS80000008
CLS53000610;DISEÑO EXPERIENCIA CLIENTES ;CLS80000004
CLS53000588;CENTRAL GENERACION ;CLS80000006
CLS53000506;GESTION TECNOLOGIAS OPERACION TYD ;CLS80000008
CLS51000900;PROYECTOS RED PROPIA ;CLS80000008
CLS53000481;GESTION MULTISERVICIOS Y HOGAR MAS ;CLS80000004
CLS53000357;INGENIERIA DE DETALLE SISTEMAS FOTOVOLTAICOS ;CLS80000008
CLS53000428;OBRAS CIVILES PROYECTOS ;CLS80000006
CLS53000309;DISTRITOS TERMICOS Y COGENERACION ;CLS80000006
CLS53000592;OPERACION Y MANTENIMIENTO RUTINARIO CENTRALES GENERACION ;CLS80000006
CLS53000342;CENTRO DE CONTROL ;CLS80000008
CLS53000039;PROYECTO REDUCCION DE PERDIDAS ZONA VALLE ;CLS80000008
CLS51000910;PROCESOS COMERCIALES ;CLS80000004
CLS53000599;PRESAS ;CLS80000006
CLS53000370;EXPERIENCIAS DE SERVICIO ZONA ;CLS80000004
CLS53000034;MANTENIMIENTO ELECTRICO CENTRALES GENERACION ;CLS80000006
CLS53000457;EJECUCION CRECIMIENTO DE RED ;CLS80000008
CLS53000522;CENTRO DE OPERACIONES TIEMPO REAL INTERNET ;CLS80000007
CLS53000383;MANTENIMIENTO MECANICO CENTRALES GENERACION ;CLS80000006
CLS53000456;PLANEACION CRECIMIENTO DE RED ;CLS80000008
CLS53000278;ENERGIA Y HOGARES ;CLS80000004
CLS53000568;EXPERIENCIAS DE SERVICIO ;CLS80000004
CLS53000539;SERVICIOS VIRTUALES ;CLS80000004
CLS53000238;OPERACION INTERNET ;CLS80000007
CLS53000293;REGIONAL VALLE EMPRESAS ;CLS80000004
CLS53000368;FACTURACION MEDIDA ;CLS80000004
CLS51000795;INGENIERIA PARA EL DESARROLLO ;CLS80000005
CLS53000289;REGIONAL COSTA ;CLS80000004
CLS53000288;REGIONAL BOGOTA ;CLS80000004
CLS53000333;CREDITOS ;CLS80000004
CLS51000337;SEGURIDAD Y SALUD EN EL TRABAJO ;CLS80000007
CLS53000248;CONFIABILIDAD MANTENIMIENTO ;CLS80000008
CLS51000843;PROTECCIONES AUTOMATIZACION Y CONTROL ;CLS80000006
CLS51000845;INGENIERIA DE APOYO AGUAS ;CLS80000006
CLS53000376;ALMACEN ;CLS80000005
CLS53000347;CENTRO DE CONTROL ;CLS80000008
CLS53000248;CONFIABILIDAD MANTENIMIENTO TYD ;CLS80000008
CLS53000595;OPERACION Y MANTENIMIENTO RUTINARIO CENTRALES GENERACION ;CLS80000006
CLS53000579;SUBESTACIONES VALLE SUR ;CLS80000008
CLS53000010;PROYECTOS TECHOS FOTOVOLTAICOS ;CLS80000008
CLS53000227;OPERACION Y MANTENIMIENTO DE LA MEDIDA ZONA VALLE SUR ;CLS80000008
CLS53000590;CENTRAL GENERACION ;CLS80000006
CLS53000574;MANTENIIMENTO ZONA VALLE NORTE ;CLS80000008
CLS53000324;COMERCIAL INTERNET ;CLS80000007
CLS53000367;COBRO Y RECAUDO ;CLS80000004
CLS53000615;VIAS Y OBRAS POR IMPUESTOS ;CLS80000006
CLS53000021;COMPENSACION Y PLANEACION DEL TALENTO ;CLS80000007
CLS53000329;MANTENIMIENTO INTERNET ;CLS80000007
CLS53000573;MANTENIMIENTO ZONA CARIBE ;CLS80000008
CLS53000460;DEVOPS TECNOLOGIA ;CLS80000007
CLS53000576;SUBESTACIONES VALLE NORTE ;CLS80000008
CLS53000326;PLANEACION ABASTECIMIENTO ;CLS80000005
CLS53000243;EXPERIENCIAS DE SERVICIO ZONA ;CLS80000004
CLS51000701;SERVICIO A CLIENTES ;CLS80000004
CLS51000891;PLANEACION DE LA OPERACION ;CLS80000008
CLS53000260;MANTENIMIENTO ZONA TOLIMA NORTE ;CLS80000008
CLS51000846;INGENIERIA DE APOYO TERMICAS ;CLS80000006
CLS53000582;LINEAS Y REDES VALLE SUR ;CLS80000008
CLS53000343;VENTAS ;CLS80000004
CLS52000018;NEGOCIOS EN COMPETENCIA ;CLS80000003
CLS53000513;DISEÑO Y CONSTRUCCION INTERNET ;CLS80000007
CLS53000581;LINEAS Y REDES VALLE NORTE ;CLS80000008
CLS53000265;GESTION DE LA MEDIDA Y DEMANDA ;CLS80000008
CLS53000624;TIENDAS PROPIAS Y VENTAS EMPRESARIALES ;CLS80000004
CLS53000025;CIBERSEGURIDAD ;CLS80000007
CLS53000514;VENTAS ;CLS80000004
CLS53000544;DEVOPS TECNOLOGIA NEGOCIO ;CLS80000007
CLS53000209;PRESUPUESTO GENERACION ;CLS80000006
CLS53000037;GESTION ADMINISTRATIVA SAC ;CLS80000006
CLS53000361;MANTENIMIENTO LINEAS Y SUBESTACIONES ;CLS80000008
CLS53000012;LOGISTICA NACIONAL ;CLS80000005
CLS51000814;CENTRAL HIDRAULICA ALTO Y BAJO ANCHICAYA ;CLS80000006
CLS53000296;CANALES PROPIOS ;CLS80000004
CLS51000505;RIESGOS Y SEGUROS ;CLS80000005
CLS51000701;SERVICIO AL CLIENTE ;CLS80000004
CLS53000283;RIESGOS ;CLS80000005
CLS53000466;EXPERIENCIA DEL COLABORADOR Y CULTURA ;CLS80000007
CLS51000893;PROYECTO NOVA ;CLS80000008
CLS53000589;CENTRAL GENERACION ;CLS80000006
CLS51000704;SISTEMAS FOTOVOLTAICOS ;CLS80000008
CLS53000572;CONTROL DE ENERGIA ;CLS80000008
CLS53000344;CENTRO DE CONTROL ;CLS80000008
CLS53000396;LABORATORIO DE MEDIDORES ;CLS80000008
CLS53000291;REGIONAL VALLE ;CLS80000004
CLS53000575;MANTENIMIENTO ZONA VALLE SUR ;CLS80000008
CLS51000485;COMUNICACIONES ;CLS80000002
CLS51000859;EVALUACION DEL MANTENIMIENTO TYD ;CLS80000008
CLS53000270;FINANZAS DE PRODUCTO ;CLS80000005
CLS53000273;MANTENIMIENTO REDES Y SUBESTACIONES ZONA ;CLS80000008
CLS53000504;ASUNTOS LABORALES CA ;CLS80000009
CLS53000067;SUPERVISION DE TURNO III ;CLS80000009
CLS53000069;MANTENIMIENTO, INSTRUMENTACION Y ELECTRICO DMA ;CLS80000009
CLS53000525;FINANZAS ;CLS80000022
CLS53000418;MERCADOS FINANCIEROS ;CLS80000005
CLS53000497;CONTROL QUIMICO ;CLS80000009
CLS53000072;MANTENIMIENTO MECANICO DMA ;CLS80000009
CLS53000214;MANTENIMIENTO ELECTROMECANICO CENTRALES ;CLS80000009
CLS52000023;COMPLEJO HIDRICO CHIRIQUI ;CLS80000009
CLS52000010;PLANEACION FINANCIERA ;CLS80000005
CLS53000496;SUPERVISION DE TURNO ;CLS80000009
CLS52000020;LEGAL ;CLS80000009
CLS53000498;SUPERVISION DE TURNO ;CLS80000009
CLS53000413;TECNICO PRODUCTOS ;CLS80000009
CLS53000494;COMPLEJO TERMICO COLON ;CLS80000009
CLS53000087;COMERCIAL NUEVOS NEGOCIOS ;CLS80000009
CLS51000552;CELSIA CENTROAMERICA ;CLS80000009
CLS53000495;SUPERVISION DE TURNO ;CLS80000009
CLS53000411;OPERACIONES Y MANTENIMIENTO ;CLS80000009
CLS53000351;MANTENIMIENTO ME ;CLS80000006
CLS53000469;OPERACION CENTRALES TERMICAS ;CLS80000006
CLS53000621;GESTION DE LA MEDIDA ENERBIT ;CLS80000022
CLS53000081;SUPERVISION TURNO IV CTC ;CLS80000009
CLS53000052;INFRAESTRUCTURA Y SERVICIOS ADMINISTRATIVOS CA ;CLS80000009
CLS51000486;PROYECTOS GENERACION ;CLS80000001
CLS52000036;PLANTA EOLICA GUANACASTE ;CLS80000009
CLS53000092;OPERACIONES Y MANTENIMIENTO ;CLS80000009
CLS52000010;PLANEACION FINANCIERA ;CLS80000009
CLS53000339;SUPERVISION DE TURNO ;CLS80000009
CLS52000031;CONTROL QUIMICO ;CLS80000009
CLS51000667;GENERACION HIDRAULICA ;CLS80000006
CLS53000061;NUEVOS NEGOCIOS PAIS ;CLS80000009
CLS53000036;OBRAS CIVILES PROYECTOS GENERACION ;CLS80000006
CLS51000913;RECURSOS TERMICAS ;CLS80000006
CLS51000771;MANTENIMIENTO TERMICAS ;CLS80000006
CLS53000501;MANTENIMIENTO MECANICO COMPLEJO TERMICO COLON ;CLS80000009
CLS53000548;EQUIPOS ELECTRICOS PROYECTOS ;CLS80000006
CLS53000371;EXPERIENCIAS DE SERVICIO ZONA ;CLS80000004
CLS53000597;OPERACION Y MANTENIMIENTO RUTINARIO CENTRALES GENERACION ;CLS80000006
CLS53000556;DESARROLLO LOGISTICO ;CLS80000005
CLS53000604;HIDROGENO ;CLS80000021
CLS51000754;OPERACIONES COMERCIALES ;CLS80000004
CLS53000246;ACTIVOS FIJOS ;CLS80000005
CLS53000231;PLANEACION MANTENIMIENTO LINEAS REDES Y UIETD ;CLS80000008
CLS53000617;VENTAS Y OPERACIONES RETAIL ;CLS80000004
CLS53000031;CRECIMIENTO RED ;CLS80000008
CLS53000196;MANTENIMIENTO INSTRUMENTACION CENTRALES GENERACION ;CLS80000006
CLS53000232;PLANEACION DEL MANTENIMIENTO TYD ;CLS80000008
CLS53000318;INTERNET ;CLS80000007
CLS53000512;DISEÑO Y CONSTRUCCION INTERNET ;CLS80000007
CLS53000587;GESTION TECNICA GENERACION HIDRAULICA Y EOLICA ;CLS80000006
CLS51000773;OPERACION TERMICA ;CLS80000006
CLS53000350;GENERACION TERMICA ;CLS80000006
CLS51000775;COMERCIO EXTERIOR Y ZONA FRANCA ;CLS80000005
CLS51000816;CENTRAL HIDRAULICA PRADO Y CUCUANA ;CLS80000006
CLS51000329;PROTECCION DE RECURSOS ;CLS80000007
CLS51000703;SOCIOAMBIENTAL ;CLS80000006
CLS51000858;PMO TYD ;CLS80000008
CLS51000659;MANTENIMIENTO TYD ;CLS80000008
CLS53000279;CIUDADES Y EMPRESAS ;CLS80000004
CLS53000505;INTELIGENCIA COMPETITIVA ;CLS80000004
CLS51000658;GESTION TYD ;CLS80000008
CLS51000798;COMUNICACIONES MARCA ;CLS80000002
CLS53000030;ATRACCION CULTURA Y DESARROLLO DEL TALENTO ;CLS80000007
CLS53000403;SOCIOAMBIENTAL TYD ;CLS80000008
CLS51000815;CENTRAL HIDRAULICA CALIMA ;CLS80000006
